# Relics & Item Drop Locations
FORMAT: Relics by ## Era Name, ### Refinement State with reward tables. Mod/Blueprint locations: ## Item Name with enemy tables showing drop %.
INDEX: Void Relics (756 entries) | Mod Drop Locations (648 entries) | Blueprint Drop Locations (179 entries)

# Void Relics
Complete relic drop table. Each relic lists its tier (Lith/Meso/Neo/Axi), refinement state, and all possible rewards with drop chances by rarity (Common, Uncommon, Rare).

## Axi A1
### Intact
| Reward | Rarity | Chance |
| Braton Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Odonata Prime Wings Blueprint | Uncommon | 17.00% |
| Fang Prime Blade | Uncommon | 20.00% |
| Ash Prime Systems Blueprint | Rare | 6.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Akstiletto Prime Link | Uncommon | 20.00% |
| Braton Prime Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |
| Odonata Prime Wings Blueprint | Uncommon | 20.00% |
| Fang Prime Blade | Uncommon | 16.67% |
| Ash Prime Systems Blueprint | Uncommon | 10.00% |

## Axi N10
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Nidus Prime Neuroptics Blueprint | Rare | 2.00% |
| Bronco Prime Barrel | Uncommon | 11.00% |
| Phantasma Prime Blueprint | Uncommon | 11.00% |
| Harrow Prime Chassis Blueprint | Uncommon | 25.33% |
| Afuris Prime Barrel | Uncommon | 25.33% |
| Tatsu Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Nidus Prime Neuroptics Blueprint | Rare | 4.00% |
| Bronco Prime Barrel | Uncommon | 13.00% |
| Phantasma Prime Blueprint | Uncommon | 13.00% |
| Harrow Prime Chassis Blueprint | Uncommon | 23.33% |
| Afuris Prime Barrel | Uncommon | 23.33% |
| Tatsu Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Nidus Prime Neuroptics Blueprint | Rare | 6.00% |
| Bronco Prime Barrel | Uncommon | 17.00% |
| Phantasma Prime Blueprint | Uncommon | 17.00% |
| Harrow Prime Chassis Blueprint | Uncommon | 20.00% |
| Afuris Prime Barrel | Uncommon | 20.00% |
| Tatsu Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Nidus Prime Neuroptics Blueprint | Uncommon | 10.00% |
| Bronco Prime Barrel | Uncommon | 20.00% |
| Phantasma Prime Blueprint | Uncommon | 20.00% |
| Harrow Prime Chassis Blueprint | Uncommon | 16.67% |
| Afuris Prime Barrel | Uncommon | 16.67% |
| Tatsu Prime Blueprint | Uncommon | 16.67% |

## Axi N11
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Nagantaka Prime Blueprint | Rare | 2.00% |
| Garuda Prime Chassis Blueprint | Uncommon | 11.00% |
| Fang Prime Handle | Uncommon | 11.00% |
| Khora Prime Systems Blueprint | Uncommon | 25.33% |
| Burston Prime Receiver | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Nagantaka Prime Blueprint | Rare | 4.00% |
| Garuda Prime Chassis Blueprint | Uncommon | 13.00% |
| Fang Prime Handle | Uncommon | 13.00% |
| Khora Prime Systems Blueprint | Uncommon | 23.33% |
| Burston Prime Receiver | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Nagantaka Prime Blueprint | Rare | 6.00% |
| Garuda Prime Chassis Blueprint | Uncommon | 17.00% |
| Fang Prime Handle | Uncommon | 17.00% |
| Khora Prime Systems Blueprint | Uncommon | 20.00% |
| Burston Prime Receiver | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Nagantaka Prime Blueprint | Uncommon | 10.00% |
| Garuda Prime Chassis Blueprint | Uncommon | 20.00% |
| Fang Prime Handle | Uncommon | 20.00% |
| Khora Prime Systems Blueprint | Uncommon | 16.67% |
| Burston Prime Receiver | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Axi N12
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Nidus Prime Chassis Blueprint | Rare | 2.00% |
| Saryn Prime Blueprint | Uncommon | 11.00% |
| Strun Prime Barrel | Uncommon | 11.00% |
| Nikana Prime Blueprint | Uncommon | 25.33% |
| Paris Prime String | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Nidus Prime Chassis Blueprint | Rare | 4.00% |
| Saryn Prime Blueprint | Uncommon | 13.00% |
| Strun Prime Barrel | Uncommon | 13.00% |
| Nikana Prime Blueprint | Uncommon | 23.33% |
| Paris Prime String | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Nidus Prime Chassis Blueprint | Rare | 6.00% |
| Saryn Prime Blueprint | Uncommon | 17.00% |
| Strun Prime Barrel | Uncommon | 17.00% |
| Nikana Prime Blueprint | Uncommon | 20.00% |
| Paris Prime String | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Nidus Prime Chassis Blueprint | Uncommon | 10.00% |
| Saryn Prime Blueprint | Uncommon | 20.00% |
| Strun Prime Barrel | Uncommon | 20.00% |
| Nikana Prime Blueprint | Uncommon | 16.67% |
| Paris Prime String | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Axi N13
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Nautilus Prime Cerebrum | Rare | 2.00% |
| Kompressa Prime Receiver | Uncommon | 11.00% |
| 2X Forma Blueprint | Uncommon | 11.00% |
| Quassus Prime Handle | Uncommon | 25.33% |
| Protea Prime Blueprint | Uncommon | 25.33% |
| Okina Prime Blade | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Nautilus Prime Cerebrum | Rare | 4.00% |
| Kompressa Prime Receiver | Uncommon | 13.00% |
| 2X Forma Blueprint | Uncommon | 13.00% |
| Quassus Prime Handle | Uncommon | 23.33% |
| Protea Prime Blueprint | Uncommon | 23.33% |
| Okina Prime Blade | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Nautilus Prime Cerebrum | Rare | 6.00% |
| Kompressa Prime Receiver | Uncommon | 17.00% |
| 2X Forma Blueprint | Uncommon | 17.00% |
| Quassus Prime Handle | Uncommon | 20.00% |
| Protea Prime Blueprint | Uncommon | 20.00% |
| Okina Prime Blade | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Nautilus Prime Cerebrum | Uncommon | 10.00% |
| Kompressa Prime Receiver | Uncommon | 20.00% |
| 2X Forma Blueprint | Uncommon | 20.00% |
| Quassus Prime Handle | Uncommon | 16.67% |
| Protea Prime Blueprint | Uncommon | 16.67% |
| Okina Prime Blade | Uncommon | 16.67% |

## Axi N2
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Carrier Prime Carapace | Uncommon | 25.33% |
| Lex Prime Receiver | Uncommon | 25.33% |
| 2X Forma Blueprint | Uncommon | 11.00% |
| Nikana Prime Hilt | Rare | 2.00% |
| Ash Prime Neuroptics Blueprint | Uncommon | 11.00% |
| Bronco Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Carrier Prime Carapace | Uncommon | 23.33% |
| Lex Prime Receiver | Uncommon | 23.33% |
| 2X Forma Blueprint | Uncommon | 13.00% |
| Nikana Prime Hilt | Rare | 4.00% |
| Ash Prime Neuroptics Blueprint | Uncommon | 13.00% |
| Bronco Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Carrier Prime Carapace | Uncommon | 20.00% |
| Lex Prime Receiver | Uncommon | 20.00% |
| 2X Forma Blueprint | Uncommon | 17.00% |
| Nikana Prime Hilt | Rare | 6.00% |
| Ash Prime Neuroptics Blueprint | Uncommon | 17.00% |
| Bronco Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Carrier Prime Carapace | Uncommon | 16.67% |
| Lex Prime Receiver | Uncommon | 16.67% |
| 2X Forma Blueprint | Uncommon | 20.00% |
| Nikana Prime Hilt | Uncommon | 10.00% |
| Ash Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Bronco Prime Blueprint | Uncommon | 16.67% |

## Axi N3
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Nekros Prime Blueprint | Rare | 2.00% |
| Volt Prime Blueprint | Uncommon | 11.00% |
| Bronco Prime Barrel | Uncommon | 11.00% |
| Paris Prime Upper Limb | Uncommon | 25.33% |
| Dual Kamas Prime Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Nekros Prime Blueprint | Rare | 4.00% |
| Volt Prime Blueprint | Uncommon | 13.00% |
| Bronco Prime Barrel | Uncommon | 13.00% |
| Paris Prime Upper Limb | Uncommon | 23.33% |
| Dual Kamas Prime Blueprint | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Nekros Prime Blueprint | Rare | 6.00% |
| Volt Prime Blueprint | Uncommon | 17.00% |
| Bronco Prime Barrel | Uncommon | 17.00% |
| Paris Prime Upper Limb | Uncommon | 20.00% |
| Dual Kamas Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Nekros Prime Blueprint | Uncommon | 10.00% |
| Volt Prime Blueprint | Uncommon | 20.00% |
| Bronco Prime Barrel | Uncommon | 20.00% |
| Paris Prime Upper Limb | Uncommon | 16.67% |
| Dual Kamas Prime Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Axi N4
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Nikana Prime Hilt | Rare | 2.00% |
| Hydroid Prime Neuroptics Blueprint | Uncommon | 11.00% |
| Fragor Prime Handle | Uncommon | 11.00% |
| Cernos Prime Upper Limb | Uncommon | 25.33% |
| Nekros Prime Chassis Blueprint | Uncommon | 25.33% |
| Galatine Prime Blade | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Nikana Prime Hilt | Rare | 4.00% |
| Hydroid Prime Neuroptics Blueprint | Uncommon | 13.00% |
| Fragor Prime Handle | Uncommon | 13.00% |
| Cernos Prime Upper Limb | Uncommon | 23.33% |
| Nekros Prime Chassis Blueprint | Uncommon | 23.33% |
| Galatine Prime Blade | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Nikana Prime Hilt | Rare | 6.00% |
| Hydroid Prime Neuroptics Blueprint | Uncommon | 17.00% |
| Fragor Prime Handle | Uncommon | 17.00% |
| Cernos Prime Upper Limb | Uncommon | 20.00% |
| Nekros Prime Chassis Blueprint | Uncommon | 20.00% |
| Galatine Prime Blade | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Nikana Prime Hilt | Uncommon | 10.00% |
| Hydroid Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Fragor Prime Handle | Uncommon | 20.00% |
| Cernos Prime Upper Limb | Uncommon | 16.67% |
| Nekros Prime Chassis Blueprint | Uncommon | 16.67% |
| Galatine Prime Blade | Uncommon | 16.67% |

## Axi N5
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Nami Skyla Prime Blade | Rare | 2.00% |
| Nekros Prime Neuroptics Blueprint | Uncommon | 11.00% |
| Helios Prime Systems | Uncommon | 11.00% |
| Euphona Prime Blueprint | Uncommon | 25.33% |
| Oberon Prime Chassis Blueprint | Uncommon | 25.33% |
| Lex Prime Barrel | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Nami Skyla Prime Blade | Rare | 4.00% |
| Nekros Prime Neuroptics Blueprint | Uncommon | 13.00% |
| Helios Prime Systems | Uncommon | 13.00% |
| Euphona Prime Blueprint | Uncommon | 23.33% |
| Oberon Prime Chassis Blueprint | Uncommon | 23.33% |
| Lex Prime Barrel | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Nami Skyla Prime Blade | Rare | 6.00% |
| Nekros Prime Neuroptics Blueprint | Uncommon | 17.00% |
| Helios Prime Systems | Uncommon | 17.00% |
| Euphona Prime Blueprint | Uncommon | 20.00% |
| Oberon Prime Chassis Blueprint | Uncommon | 20.00% |
| Lex Prime Barrel | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Nami Skyla Prime Blade | Uncommon | 10.00% |
| Nekros Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Helios Prime Systems | Uncommon | 20.00% |
| Euphona Prime Blueprint | Uncommon | 16.67% |
| Oberon Prime Chassis Blueprint | Uncommon | 16.67% |
| Lex Prime Barrel | Uncommon | 16.67% |

## Axi N6
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Nikana Prime Hilt | Rare | 2.00% |
| Saryn Prime Blueprint | Uncommon | 11.00% |
| Braton Prime Receiver | Uncommon | 11.00% |
| Nikana Prime Blueprint | Uncommon | 25.33% |
| Braton Prime Barrel | Uncommon | 25.33% |
| Lex Prime Receiver | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Nikana Prime Hilt | Rare | 4.00% |
| Saryn Prime Blueprint | Uncommon | 13.00% |
| Braton Prime Receiver | Uncommon | 13.00% |
| Nikana Prime Blueprint | Uncommon | 23.33% |
| Braton Prime Barrel | Uncommon | 23.33% |
| Lex Prime Receiver | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Nikana Prime Hilt | Rare | 6.00% |
| Saryn Prime Blueprint | Uncommon | 17.00% |
| Braton Prime Receiver | Uncommon | 17.00% |
| Nikana Prime Blueprint | Uncommon | 20.00% |
| Braton Prime Barrel | Uncommon | 20.00% |
| Lex Prime Receiver | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Nikana Prime Hilt | Uncommon | 10.00% |
| Saryn Prime Blueprint | Uncommon | 20.00% |
| Braton Prime Receiver | Uncommon | 20.00% |
| Nikana Prime Blueprint | Uncommon | 16.67% |
| Braton Prime Barrel | Uncommon | 16.67% |
| Lex Prime Receiver | Uncommon | 16.67% |

## Axi N7
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Nezha Prime Chassis Blueprint | Rare | 2.00% |
| Dethcube Prime Carapace | Uncommon | 11.00% |
| 2X Forma Blueprint | Uncommon | 11.00% |
| Baza Prime Receiver | Uncommon | 25.33% |
| Astilla Prime Receiver | Uncommon | 25.33% |
| Octavia Prime Systems Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Nezha Prime Chassis Blueprint | Rare | 4.00% |
| Dethcube Prime Carapace | Uncommon | 13.00% |
| 2X Forma Blueprint | Uncommon | 13.00% |
| Baza Prime Receiver | Uncommon | 23.33% |
| Astilla Prime Receiver | Uncommon | 23.33% |
| Octavia Prime Systems Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Nezha Prime Chassis Blueprint | Rare | 6.00% |
| Dethcube Prime Carapace | Uncommon | 17.00% |
| 2X Forma Blueprint | Uncommon | 17.00% |
| Baza Prime Receiver | Uncommon | 20.00% |
| Astilla Prime Receiver | Uncommon | 20.00% |
| Octavia Prime Systems Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Nezha Prime Chassis Blueprint | Uncommon | 10.00% |
| Dethcube Prime Carapace | Uncommon | 20.00% |
| 2X Forma Blueprint | Uncommon | 20.00% |
| Baza Prime Receiver | Uncommon | 16.67% |
| Astilla Prime Receiver | Uncommon | 16.67% |
| Octavia Prime Systems Blueprint | Uncommon | 16.67% |

## Axi N8
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Nezha Prime Neuroptics Blueprint | Rare | 2.00% |
| Pandero Prime Barrel | Uncommon | 11.00% |
| Strun Prime Barrel | Uncommon | 11.00% |
| Forma Blueprint | Uncommon | 25.33% |
| Braton Prime Receiver | Uncommon | 25.33% |
| Bronco Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Nezha Prime Neuroptics Blueprint | Rare | 4.00% |
| Pandero Prime Barrel | Uncommon | 13.00% |
| Strun Prime Barrel | Uncommon | 13.00% |
| Forma Blueprint | Uncommon | 23.33% |
| Braton Prime Receiver | Uncommon | 23.33% |
| Bronco Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Nezha Prime Neuroptics Blueprint | Rare | 6.00% |
| Pandero Prime Barrel | Uncommon | 17.00% |
| Strun Prime Barrel | Uncommon | 17.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Braton Prime Receiver | Uncommon | 20.00% |
| Bronco Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Nezha Prime Neuroptics Blueprint | Uncommon | 10.00% |
| Pandero Prime Barrel | Uncommon | 20.00% |
| Strun Prime Barrel | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 16.67% |
| Braton Prime Receiver | Uncommon | 16.67% |
| Bronco Prime Blueprint | Uncommon | 16.67% |

## Axi N9
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Nidus Prime Neuroptics Blueprint | Rare | 2.00% |
| Phantasma Prime Blueprint | Uncommon | 11.00% |
| Astilla Prime Blueprint | Uncommon | 11.00% |
| Pandero Prime Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |
| Bronco Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Nidus Prime Neuroptics Blueprint | Rare | 4.00% |
| Phantasma Prime Blueprint | Uncommon | 13.00% |
| Astilla Prime Blueprint | Uncommon | 13.00% |
| Pandero Prime Blueprint | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |
| Bronco Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Nidus Prime Neuroptics Blueprint | Rare | 6.00% |
| Phantasma Prime Blueprint | Uncommon | 17.00% |
| Astilla Prime Blueprint | Uncommon | 17.00% |
| Pandero Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Bronco Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Nidus Prime Neuroptics Blueprint | Uncommon | 10.00% |
| Phantasma Prime Blueprint | Uncommon | 20.00% |
| Astilla Prime Blueprint | Uncommon | 20.00% |
| Pandero Prime Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |
| Bronco Prime Blueprint | Uncommon | 16.67% |

## Axi O1
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Oberon Prime Systems Blueprint | Rare | 2.00% |
| Akstiletto Prime Receiver | Uncommon | 11.00% |
| Galatine Prime Handle | Uncommon | 11.00% |
| Euphona Prime Blueprint | Uncommon | 25.33% |
| Paris Prime Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Oberon Prime Systems Blueprint | Rare | 4.00% |
| Akstiletto Prime Receiver | Uncommon | 13.00% |
| Galatine Prime Handle | Uncommon | 13.00% |
| Euphona Prime Blueprint | Uncommon | 23.33% |
| Paris Prime Blueprint | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Oberon Prime Systems Blueprint | Rare | 6.00% |
| Akstiletto Prime Receiver | Uncommon | 17.00% |
| Galatine Prime Handle | Uncommon | 17.00% |
| Euphona Prime Blueprint | Uncommon | 20.00% |
| Paris Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Oberon Prime Systems Blueprint | Uncommon | 10.00% |
| Akstiletto Prime Receiver | Uncommon | 20.00% |
| Galatine Prime Handle | Uncommon | 20.00% |
| Euphona Prime Blueprint | Uncommon | 16.67% |
| Paris Prime Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Axi O2
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Oberon Prime Systems Blueprint | Rare | 2.00% |
| Tiberon Prime Blueprint | Uncommon | 11.00% |
| Helios Prime Systems | Uncommon | 11.00% |
| Galatine Prime Blade | Uncommon | 25.33% |
| Paris Prime String | Uncommon | 25.33% |
| Fang Prime Blade | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Oberon Prime Systems Blueprint | Rare | 4.00% |
| Tiberon Prime Blueprint | Uncommon | 13.00% |
| Helios Prime Systems | Uncommon | 13.00% |
| Galatine Prime Blade | Uncommon | 23.33% |
| Paris Prime String | Uncommon | 23.33% |
| Fang Prime Blade | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Oberon Prime Systems Blueprint | Rare | 6.00% |
| Tiberon Prime Blueprint | Uncommon | 17.00% |
| Helios Prime Systems | Uncommon | 17.00% |
| Galatine Prime Blade | Uncommon | 20.00% |
| Paris Prime String | Uncommon | 20.00% |
| Fang Prime Blade | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Oberon Prime Systems Blueprint | Uncommon | 10.00% |
| Tiberon Prime Blueprint | Uncommon | 20.00% |
| Helios Prime Systems | Uncommon | 20.00% |
| Galatine Prime Blade | Uncommon | 16.67% |
| Paris Prime String | Uncommon | 16.67% |
| Fang Prime Blade | Uncommon | 16.67% |

## Axi O3
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Oberon Prime Systems Blueprint | Rare | 2.00% |
| Venka Prime Blueprint | Uncommon | 11.00% |
| Zephyr Prime Chassis Blueprint | Uncommon | 11.00% |
| Destreza Prime Handle | Uncommon | 25.33% |
| Burston Prime Stock | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Oberon Prime Systems Blueprint | Rare | 4.00% |
| Venka Prime Blueprint | Uncommon | 13.00% |
| Zephyr Prime Chassis Blueprint | Uncommon | 13.00% |
| Destreza Prime Handle | Uncommon | 23.33% |
| Burston Prime Stock | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Oberon Prime Systems Blueprint | Rare | 6.00% |
| Venka Prime Blueprint | Uncommon | 17.00% |
| Zephyr Prime Chassis Blueprint | Uncommon | 17.00% |
| Destreza Prime Handle | Uncommon | 20.00% |
| Burston Prime Stock | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Oberon Prime Systems Blueprint | Uncommon | 10.00% |
| Venka Prime Blueprint | Uncommon | 20.00% |
| Zephyr Prime Chassis Blueprint | Uncommon | 20.00% |
