# Enemy Drop Tables
FORMAT: Each ## is one enemy. Tables list what that enemy drops: mods, blueprints, resources, sigils with rarity and exact % chance.
INDEX: Enemy Mod Drop Tables (860 entries) | Enemy Blueprint Drop Tables (88 entries) | Resource Drops by Enemy (826 entries) | Sigil Drops by Enemy (57 entries) | Additional Item Drops by Enemy (37 entries)
| Magazine Warp | Uncommon | 18.97% |
| Blunderbuss | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| Shell Compression | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Decisive Judgement | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Hellion Power Carrier
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Reach | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Fury | Uncommon | 11.06% |
| No Return | Uncommon | 11.06% |
| Reaping Spiral | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Arid Hellion
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 37.94% |
| Vitality | Common | 37.94% |
| Heated Charge | Uncommon | 11.06% |
| Diamond Skin | Uncommon | 11.06% |
| Heavy Trauma | Legendary | 0.50% |
| Streamline | Legendary | 0.50% |
| Iron Phoenix | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Frontier Hellion
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 37.94% |
| Vitality | Common | 37.94% |
| Heated Charge | Uncommon | 11.06% |
| Diamond Skin | Uncommon | 11.06% |
| Heavy Trauma | Legendary | 0.50% |
| Streamline | Legendary | 0.50% |
| Iron Phoenix | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Sprag
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Organ Shatter | Uncommon | 25.29% |
| Continuous Misery | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Stormbringer | Uncommon | 11.06% |
| Terminal Velocity | Uncommon | 11.06% |
| 80 Endo | Rare | 2.01% |

## Hellion
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 37.94% |
| Vitality | Common | 37.94% |
| Heated Charge | Uncommon | 11.06% |
| Diamond Skin | Uncommon | 11.06% |
| Heavy Trauma | Legendary | 0.50% |
| Streamline | Legendary | 0.50% |
| Iron Phoenix | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Ven'Kra Tel
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Organ Shatter | Uncommon | 25.29% |
| Continuous Misery | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Stormbringer | Uncommon | 11.06% |
| Terminal Velocity | Uncommon | 11.06% |
| 80 Endo | Rare | 2.01% |

## Drahk
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Scavenge | Uncommon | 25.29% |
| Loyal Companion | Uncommon | 25.29% |
| Pack Leader | Uncommon | 25.29% |
| Shelter | Rare | 3.69% |
| Link Fiber | Rare | 3.69% |
| Link Vitality | Rare | 3.69% |
| Link Redirection | Rare | 3.69% |
| Maul | Rare | 3.69% |
| Hastened Deflection | Rare | 3.69% |
| Hunt | Legendary | 0.22% |
| Stalk | Legendary | 0.22% |
| Dig | Legendary | 0.22% |
| Howl | Legendary | 0.22% |
| Protect | Legendary | 0.22% |
| Unleashed | Legendary | 0.22% |
| Savagery | Legendary | 0.22% |
| Bite | Legendary | 0.22% |
| Ferocity | Legendary | 0.22% |

## Lancer
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 37.94% |
| Vitality | Common | 37.94% |
| Heated Charge | Uncommon | 11.06% |
| Diamond Skin | Uncommon | 11.06% |
| Heavy Trauma | Legendary | 0.50% |
| Streamline | Legendary | 0.50% |
| Iron Phoenix | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Shield Lancer
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Flechette | Uncommon | 25.29% |
| Thief's Wit | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Smite Infested | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Retribution | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Trooper
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 18.97% |
| Pistol Gambit | Uncommon | 18.97% |
| Disruptor | Uncommon | 18.97% |
| Lingering Torment | Uncommon | 18.97% |
| Shocking Touch | Uncommon | 11.06% |
| Sundering Weave | Uncommon | 11.06% |
| 80 Endo | Rare | 2.01% |

## Lancer Dreg
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Extend | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Electrified Barrel | Rare | 5.53% |
| Venomous Clip | Rare | 5.53% |
| Energy Amplifier | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Morphic Transformer | Rare | 2.01% |

## Commander
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Slip Magazine | Uncommon | 25.81% |
| Magazine Warp | Uncommon | 25.81% |
| Blunderbuss | Uncommon | 25.81% |
| Shell Compression | Uncommon | 22.56% |

## Common Grineer Storage Container
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Argon Plating | Common | 37.94% |
| Energy Inversion | Common | 37.94% |
| Enhanced Durability | Rare | 7.37% |
| Auxiliary Power | Rare | 7.37% |
| Superior Defenses | Rare | 7.37% |
| System Reroute | Rare | 2.01% |

## Uncommon Grineer Storage Container
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Argon Plating | Common | 37.94% |
| Energy Inversion | Common | 37.94% |
| Enhanced Durability | Rare | 5.53% |
| Auxiliary Power | Rare | 5.53% |
| Auxiliary Power | Rare | 5.53% |
| Superior Defenses | Rare | 5.53% |
| System Reroute | Rare | 2.01% |

## Manic Bombard
**Base Mod Drop Chance:** 40.00%
| Mod | Rarity | Chance |
|---|---|---|
| True Steel | Uncommon | 25.29% |
| Warm Coat | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Expel Grineer | Uncommon | 11.06% |
| Tactical Pump | Uncommon | 11.06% |
| Vermillion Storm | Legendary | 0.67% |
| Vulpine Mask | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Arid Seeker
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Sawtooth Clip | Common | 75.88% |
| Killing Blow | Rare | 7.37% |
| Accelerated Deflection | Rare | 7.37% |
| Shimmering Blight | Rare | 7.37% |
| Barrel Diffusion | Legendary | 0.67% |
| Crushing Ruin | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Frontier Seeker
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Sawtooth Clip | Common | 75.88% |
| Killing Blow | Rare | 7.37% |
| Accelerated Deflection | Rare | 7.37% |
| Shimmering Blight | Rare | 7.37% |
| Barrel Diffusion | Legendary | 0.67% |
| Crushing Ruin | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Zeplen
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Sudden Impact | Uncommon | 25.81% |
| Magazine Extension | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Modified Munitions | Rare | 7.52% |
| Enhanced Durability | Rare | 7.52% |
| 50 Endo | Rare | 7.52% |

## Shield-Hellion Dargyn
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| Bleeding Edge | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Blazing Steel | Rare | 7.37% |
| Energy Amplifier | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Dual Rounds | Rare | 2.01% |

## Hellion Dargyn
**Base Mod Drop Chance:** 12.50%
| Mod | Rarity | Chance |
|---|---|---|
| Extend | Uncommon | 25.29% |
| Sudden Impact | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Rubedo-Lined Barrel | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| System Reroute | Rare | 2.01% |

## Seeker
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Sawtooth Clip | Common | 75.88% |
| Killing Blow | Rare | 7.37% |
| Accelerated Deflection | Rare | 7.37% |
| Shimmering Blight | Rare | 7.37% |
| Barrel Diffusion | Legendary | 0.67% |
| Crushing Ruin | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Frontier Regulator
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Vitality | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Fury | Rare | 7.37% |
| Convulsion | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Hell's Chamber | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Regulator
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Vitality | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Fury | Rare | 7.37% |
| Convulsion | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Hell's Chamber | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Arid Lancer
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 37.94% |
| Vitality | Common | 37.94% |
| Heated Charge | Uncommon | 11.06% |
| Diamond Skin | Uncommon | 11.06% |
| Heavy Trauma | Legendary | 0.50% |
| Streamline | Legendary | 0.50% |
| Iron Phoenix | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Frontier Lancer
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 37.94% |
| Vitality | Common | 37.94% |
| Heated Charge | Uncommon | 11.06% |
| Diamond Skin | Uncommon | 11.06% |
| Heavy Trauma | Legendary | 0.50% |
| Streamline | Legendary | 0.50% |
| Iron Phoenix | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Roller
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| True Steel | Uncommon | 18.97% |
| Trick Mag | Uncommon | 18.97% |
| Enhanced Vitality | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| Hellfire | Rare | 7.37% |
| Fast Deflection | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| 80 Endo | Rare | 2.01% |

## Roller Sentry
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| True Steel | Uncommon | 18.97% |
| Trick Mag | Uncommon | 18.97% |
| Enhanced Vitality | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| Hellfire | Rare | 7.37% |
| Fast Deflection | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| 80 Endo | Rare | 2.01% |

## Kuva Guardian
**Base Mod Drop Chance:** 40.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| 50 Endo | Uncommon | 22.11% |
| Vermillion Storm | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Flameblade
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Trick Mag | Uncommon | 25.29% |
| Flame Repellent | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Rifle Aptitude | Rare | 7.37% |
| Cleanse Corpus | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Enemy Sense | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Butcher
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Uncommon | 18.97% |
| Point Strike | Uncommon | 18.97% |
| Fast Hands | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| North Wind | Rare | 5.53% |
| Reflex Coil | Rare | 5.53% |
| Smite Grineer | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Flow | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Powerfist
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Vaporize | Common | 37.94% |
| Calculated Redirection | Common | 37.94% |
| Target Cracker | Rare | 5.53% |
| Bane Of Infested | Rare | 5.53% |
| Grim Fury | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Seeking Force | Rare | 1.01% |
| Malicious Raptor | Rare | 1.01% |

## Shield Dargyn
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Energy Inversion | Common | 38.72% |
| 15 Endo | Common | 38.72% |
| Furor | Rare | 5.64% |
| Conductive Blade | Rare | 5.64% |
| Auxiliary Power | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Arid Trooper
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 18.97% |
| Pistol Gambit | Uncommon | 18.97% |
| Disruptor | Uncommon | 18.97% |
| Lingering Torment | Uncommon | 18.97% |
| Shocking Touch | Uncommon | 11.06% |
| Sundering Weave | Uncommon | 11.06% |
| 80 Endo | Rare | 2.01% |

## Frontier Trooper
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 18.97% |
| Pistol Gambit | Uncommon | 18.97% |
| Disruptor | Uncommon | 18.97% |
| Lingering Torment | Uncommon | 18.97% |
| Shocking Touch | Uncommon | 11.06% |
| Sundering Weave | Uncommon | 11.06% |
| 80 Endo | Rare | 2.01% |

## Dargyn
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Bleeding Edge | Uncommon | 25.29% |
| Magazine Extension | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Glacial Edge | Rare | 7.37% |
| Modified Munitions | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Efficient Transferral | Rare | 2.01% |

## Ballista
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Organ Shatter | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Stormbringer | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| 80 Endo | Rare | 2.01% |

## Dreg
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Parallax Scope | Uncommon | 25.29% |
| Argon Plating | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Cutting Edge | Rare | 7.37% |
| Combustion Rounds | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Morphic Transformer | Rare | 2.01% |

## Temporal Dreg
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Extend | Uncommon | 25.29% |
| Parallax Scope | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Polar Magazine | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Morphic Transformer | Rare | 2.01% |

## Grineer Power Carrier
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Reach | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Fury | Uncommon | 11.06% |
| No Return | Uncommon | 11.06% |
| Reaping Spiral | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Malice (Level 0 - 100)
**Base Mod Drop Chance:** 100.00%
| Mod | Rarity | Chance |
|---|---|---|
| Primary Merciless | Uncommon | 16.67% |
| Primary Dexterity | Uncommon | 16.67% |
| Primary Deadhead | Uncommon | 16.67% |
| Secondary Merciless | Uncommon | 16.67% |
| Secondary Dexterity | Uncommon | 16.67% |
| Secondary Deadhead | Uncommon | 16.67% |

## Hunhow
**Base Mod Drop Chance:** 100.00%
| Mod | Rarity | Chance |
|---|---|---|
| Molten Impact | Uncommon | 30.56% |
| Heavy Impact | Uncommon | 30.56% |
| Blind Justice | Uncommon | 30.56% |
| Energy Channel | Rare | 2.78% |
| Intensify | Rare | 2.78% |
| 80 Endo | Rare | 2.78% |

## Hyena Th
**Base Mod Drop Chance:** 60.00%
| Mod | Rarity | Chance |
|---|---|---|
| True Steel | Common | 38.72% |
| Trick Mag | Common | 38.72% |
| Hit And Run | Uncommon | 11.28% |
| North Wind | Uncommon | 11.28% |

## Hyena Ng
**Base Mod Drop Chance:** 60.00%
| Mod | Rarity | Chance |
|---|---|---|
| True Steel | Common | 38.72% |
| Trick Mag | Common | 38.72% |
| Hit And Run | Uncommon | 11.28% |
| North Wind | Uncommon | 11.28% |

## Hyena Pb
**Base Mod Drop Chance:** 60.00%
| Mod | Rarity | Chance |
|---|---|---|
| True Steel | Common | 38.72% |
| Trick Mag | Common | 38.72% |
| Hit And Run | Uncommon | 11.28% |
| North Wind | Uncommon | 11.28% |

## Hyena Ln2
**Base Mod Drop Chance:** 60.00%
| Mod | Rarity | Chance |
|---|---|---|
| True Steel | Common | 38.72% |
| Trick Mag | Common | 38.72% |
| Hit And Run | Uncommon | 11.28% |
| North Wind | Uncommon | 11.28% |

## Mutalist Alad V
**Base Mod Drop Chance:** 100.00%
| Mod | Rarity | Chance |
|---|---|---|
| Slip Magazine | Uncommon | 25.29% |
| Quickdraw | Uncommon | 25.29% |
| Vitality | Uncommon | 25.29% |
| Heated Charge | Uncommon | 11.06% |
| Gunslinger | Uncommon | 11.06% |
| Intensify | Rare | 2.01% |

## Brood Mother
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Lasting Sting | Uncommon | 25.29% |
| Flechette | Uncommon | 25.29% |
| Redirection | Uncommon | 25.29% |
| Expel Infested | Uncommon | 22.11% |
| High Noon | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Ancient Disruptor
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Lasting Sting | Uncommon | 25.29% |
| Flechette | Uncommon | 25.29% |
| Redirection | Uncommon | 25.29% |
| Relentless Combination | Uncommon | 11.06% |
| Expel Infested | Uncommon | 11.06% |
| Adhesive Blast | Rare | 1.01% |
| Cleaving Whirlwind | Rare | 1.01% |

## Ancient Healer
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Lightning Rod | Uncommon | 25.29% |
| Flame Repellent | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| 50 Endo | Uncommon | 22.11% |
| Seeker | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Boiler
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Organ Shatter | Uncommon | 15.18% |
| Slip Magazine | Uncommon | 15.18% |
| Shredder | Uncommon | 15.18% |
| Warm Coat | Uncommon | 15.18% |
| 15 Endo | Uncommon | 15.18% |
| Hornet Strike | Rare | 7.37% |
| Accelerated Deflection | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Firestorm | Rare | 1.01% |
| Brutal Tide | Rare | 1.01% |

## Venin Mutalist
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Sinister Reach | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Concealed Explosives | Legendary | 0.67% |
| Metal Auger | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Nauseous Crawler
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Quickdraw | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Serration | Uncommon | 11.06% |
| Homing Fang | Uncommon | 11.06% |
| 80 Endo | Rare | 2.01% |

## Lobber Crawler
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Uncommon | 18.97% |
| Trick Mag | Uncommon | 18.97% |
| Blunderbuss | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| Heavy Impact | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| 80 Endo | Rare | 2.01% |

## Leaper
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Assault Mode | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Fatal Acceleration | Uncommon | 11.06% |
| Cleanse Infested | Uncommon | 11.06% |
| Spinning Needle | Rare | 1.01% |
| Seismic Palm | Rare | 1.01% |

## Electric Crawler
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Rupture | Common | 75.88% |
| Sure Shot | Rare | 5.53% |
| Serration | Rare | 5.53% |
| Contagious Spread | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| 80 Endo | Rare | 2.01% |

## Crawler
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Quickdraw | Common | 37.94% |
| Steel Fiber | Common | 37.94% |
| Bane Of Corpus | Rare | 7.37% |
| Eagle Eye | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Healing Return | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Charger
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Regen | Uncommon | 18.97% |
| Rupture | Uncommon | 18.97% |
| Calculated Redirection | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| Convulsion | Rare | 7.37% |
| Speed Trigger | Rare | 7.37% |
| Fracturing Wind | Rare | 7.37% |
| 80 Endo | Rare | 2.01% |

## Infested Mesa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Berserker Fury | Uncommon | 20.00% |
| Master Thief | Uncommon | 20.00% |
| Rage | Uncommon | 20.00% |
| Flow | Uncommon | 20.00% |
| Decisive Judgement | Uncommon | 20.00% |

## Tar Mutalist Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Lasting Sting | Uncommon | 25.29% |
| Flechette | Uncommon | 25.29% |
| Redirection | Uncommon | 25.29% |
| Relentless Combination | Uncommon | 11.06% |
| Expel Infested | Uncommon | 11.06% |
| Adhesive Blast | Rare | 1.01% |
| Cleaving Whirlwind | Rare | 1.01% |

## Swarm Mutalist Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Lightning Rod | Uncommon | 25.29% |
| Flame Repellent | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| 50 Endo | Uncommon | 22.11% |
| Seeker | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Toxic Crawler
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Uncommon | 18.97% |
| Trick Mag | Uncommon | 18.97% |
| Blunderbuss | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| Heavy Impact | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| 80 Endo | Rare | 2.01% |

## Attack Mutalist
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Parallax Scope | Uncommon | 25.29% |
| Argon Plating | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Cutting Edge | Rare | 7.37% |
| Combustion Rounds | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Morphic Transformer | Rare | 2.01% |

## Mutalist Lightning Carrier
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Parallax Scope | Uncommon | 25.29% |
| Argon Plating | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Cutting Edge | Rare | 7.37% |
| Combustion Rounds | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Morphic Transformer | Rare | 2.01% |

## Mutalist Toxic Carrier
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Parallax Scope | Uncommon | 25.29% |
| Argon Plating | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Cutting Edge | Rare | 7.37% |
| Combustion Rounds | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Morphic Transformer | Rare | 2.01% |

## Volatile Runner
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ghost | Uncommon | 25.29% |
| Reach | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Concussion Rounds | Uncommon | 11.06% |
| Point Blank | Uncommon | 11.06% |
| Sundering Strike | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Toxic Ancient
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Organ Shatter | Uncommon | 15.18% |
| Slip Magazine | Uncommon | 15.18% |
| Shredder | Uncommon | 15.18% |
| Warm Coat | Uncommon | 15.18% |
| 15 Endo | Uncommon | 15.18% |
| Hornet Strike | Rare | 7.37% |
| Accelerated Deflection | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Firestorm | Rare | 1.01% |
| Brutal Tide | Rare | 1.01% |
